product_id,external_product_id,platform_id,country_id,shop_id,category_id,product_title,product_title_translated,brand,description,main_image_url,url,is_ad,first_seen_date,last_updated
12,PLAT18_54804,18,4,55,14,Michelin Automotive Standard Edition,Michelin Automotive Standard Edition (马来西亚销售),Michelin,在Malaysia销量领先的Michelin产品，正品保障,/images/products/automotive/michelin_1.jpg,https://example.com/product/PROD98891371,True,2025-10-22,2025-11-11
13,LZD_86131,2,8,95,1,Philips Air Conditioner with WiFi,Philips Air Conditioner with WiFi (传统销售),Philips,节日特供的Philips产品，本地化适配,/images/products/electronics/philips_19.jpg,https://lazada.co.id/product/PROD25758535,False,2025-08-06,2025-08-08
14,SHOPEE_77478,1,8,44,5,HomePro Home & Living Deluxe Edition,HomePro Home & Living Deluxe Edition (传统销售),HomePro,在Laos备受好评的HomePro产品，官方授权,/images/products/home_&_living/homepro_8.jpg,https://shopee.co.id/product/PROD71401820,True,2025-11-12,2025-12-13
15,TT_TH_21436,27,2,19,3,Xiaomi Mobile Phones Standard Edition,Xiaomi Mobile Phones Standard Edition (传统销售),Xiaomi,在Thailand广受欢迎的Xiaomi产品，官方授权,/images/products/mobile_phones/xiaomi_12.jpg,https://tiktok.com/th/product/PROD90164555,False,2025-07-07,2025-09-03
16,Q10_55576,17,5,41,13,Centrum Health & Wellness Premium Edition,Centrum Health & Wellness Premium Edition (狮城销售),Centrum,节日特供的Centrum产品，适合热带地区使用,/images/products/health_&_wellness/centrum_3.jpg,https://qoo10.sg/product/PROD61770506,True,2025-07-22,2025-08-07
17,SH_SG_39088,15,5,100,9,Under Armour Sports & Outdoors Standard Edition,Under Armour Sports & Outdoors Standard Edition (新加坡销售),Under Armour,全新上市的Under Armour产品，适合热带地区使用,/images/products/sports_&_outdoors/under_armour_3.jpg,https://shopee.sg/product/PROD34920844,True,2025-10-26,2025-12-13
18,PLAT9_46934,9,3,20,11,Oxford Books & Stationery Premium Edition,Oxford Books & Stationery Premium Edition (传统销售),Oxford,节日特供的Oxford产品，适合热带地区使用,/images/products/books_&_stationery/oxford_19.jpg,https://example.com/product/PROD75015497,False,2025-03-18,2025-04-22
19,PLAT25_19080,25,3,49,3,Huawei Mobile Phones Deluxe Edition,Huawei Mobile Phones Deluxe Edition (越南销售),Huawei,限时优惠的Huawei产品，本地化适配,/images/products/mobile_phones/huawei_7.jpg,https://example.com/product/PROD51597645,True,2025-12-27,2026-01-11
20,PLAT29_90956,29,5,98,10,Silk T-Shirt by Batik Keris,优质传统服饰 - Silk T-Shirt by Batik Keris,Batik Keris,在Singapore备受好评的Batik Keris产品，官方授权,/images/products/traditional_clothing/batik_keris_17.jpg,https://example.com/product/PROD29497542,True,2025-10-11,2025-11-11
21,SHOPEE_99454,1,9,90,5,Index Home & Living Premium Edition,Index Home & Living Premium Edition (传统销售),Index,限时优惠的Index产品，本地化适配,/images/products/home_&_living/index_10.jpg,https://shopee.co.id/product/PROD93276832,True,2025-10-02,2025-10-11
22,SHOPEE_98920,1,10,42,15,Purina Pet Supplies Standard Edition,Purina Pet Supplies Standard Edition (传统销售),Purina,Purina品牌优质产品，适合本地使用,/images/products/pet_supplies/purina_16.jpg,https://shopee.co.id/product/PROD94180690,False,2025-04-22,2025-04-28
23,PLAT9_84041,9,3,80,1,Philips Washing Machine with Bluetooth,Philips Washing Machine with Bluetooth (越南销售),Philips,限时优惠的Philips产品，本地化适配,/images/products/electronics/philips_7.jpg,https://example.com/product/PROD81421199,True,2025-07-14,2025-09-05
24,TPD_30272,3,1,35,11,Oxford Books & Stationery Basic Edition,Oxford Books & Stationery Basic Edition (印尼销售),Oxford,在Indonesia广受欢迎的Oxford产品，正品保障,/images/products/books_&_stationery/oxford_4.jpg,https://tokopedia.com/product/PROD12468358,True,2025-04-10,2025-05-07
25,PLAT10_65117,10,3,77,2,Gucci Casual Jacket,Gucci Casual Jacket (传统销售),Gucci,全新上市的Gucci产品，适合热带地区使用,/images/products/fashion/gucci_2.jpg,https://example.com/product/PROD20920738,True,2025-09-16,2025-10-16
26,SHOPEE_48848,1,1,31,14,Bosch Automotive Premium Edition,Bosch Automotive Premium Edition (传统销售),Bosch,Bosch品牌热门产品，适合本地使用,/images/products/automotive/bosch_17.jpg,https://shopee.co.id/product/PROD55509473,False,2025-08-16,2025-08-27
27,PLAT10_24103,10,3,76,4,The Face Shop Mascara SPF 50+,The Face Shop Mascara SPF 50+ 传统版,The Face Shop,The Face Shop品牌经典产品，东南亚市场专供,/images/products/beauty_&_cosmetics/the_face_shop_15.jpg,https://example.com/product/PROD32752153,True,2025-04-21,2025-04-22
28,PLAT29_79388,29,5,31,9,Decathlon Sports & Outdoors Basic Edition,Decathlon Sports & Outdoors Basic Edition (优质销售),Decathlon,Decathlon品牌优质产品，东南亚市场专供,/images/products/sports_&_outdoors/decathlon_12.jpg,https://example.com/product/PROD68515793,True,2025-08-28,2025-09-12
29,PLAT23_10180,23,4,83,5,HomePro Home & Living Basic Edition,HomePro Home & Living Basic Edition (马来西亚销售),HomePro,在Malaysia备受好评的HomePro产品，质量保证,/images/products/home_&_living/homepro_15.jpg,https://example.com/product/PROD68229755,False,2025-11-15,2025-11-20
30,LZD_45348,2,8,24,10,Songket Summer Collection Jacket,寮国传统服饰 - Songket Summer Collection Jacket,Songket,全新上市的Songket产品，本地化适配,/images/products/traditional_clothing/songket_19.jpg,https://lazada.co.id/product/PROD69433788,True,2025-04-18,2025-04-24
31,JD_11133,19,2,20,6,Wardah Sunscreen & Skincare Premium Edition,Wardah Sunscreen & Skincare Premium Edition 泰国版,Wardah,Wardah品牌经典产品，东南亚市场专供,/images/products/sunscreen_&_skincare/wardah_19.jpg,https://example.com/product/PROD12550506,True,2025-01-02,2025-01-24
32,SH_PH_72205,13,6,24,8,Pocky Food & Beverages Deluxe Edition,菲律宾Pocky Food & Beverages Deluxe Edition,Pocky,在Philippines销量领先的Pocky产品，正品保障,/images/products/food_&_beverages/pocky_5.jpg,https://shopee.ph/product/PROD93071637,False,2025-03-25,2025-04-26
33,PLAT30_79495,30,4,47,10,Cotton Shoes by Batik Keris,马来西亚传统服饰 - Cotton Shoes by Batik Keris,Batik Keris,在Malaysia备受好评的Batik Keris产品，官方授权,/images/products/traditional_clothing/batik_keris_7.jpg,https://example.com/product/PROD97488362,True,2025-05-08,2025-06-13
34,Q10_64637,17,5,76,8,Coca-Cola Food & Beverages Premium Edition,新加坡Coca-Cola Food & Beverages Premium Edition,Coca-Cola,全新上市的Coca-Cola产品，适合热带地区使用,/images/products/food_&_beverages/coca-cola_11.jpg,https://qoo10.sg/product/PROD59040324,False,2025-08-09,2025-08-21
35,LZD_60499,2,10,61,13,Amway Health & Wellness Standard Edition,Amway Health & Wellness Standard Edition (文莱销售),Amway,Amway品牌经典产品，符合当地标准,/images/products/health_&_wellness/amway_13.jpg,https://lazada.co.id/product/PROD43991933,False,2025-04-25,2025-05-09
36,SHOPEE_23519,1,8,65,7,Charlotte Tilbury Makeup Deluxe Edition,Charlotte Tilbury Makeup Deluxe Edition 传统版,Charlotte Tilbury,在Laos备受好评的Charlotte Tilbury产品，正品保障,/images/products/makeup/charlotte_tilbury_20.jpg,https://shopee.co.id/product/PROD56482562,False,2025-10-13,2025-12-11
37,SHOPEE_70513,1,9,61,11,Moleskine Books & Stationery Deluxe Edition,Moleskine Books & Stationery Deluxe Edition (缅甸销售),Moleskine,限时优惠的Moleskine产品，适合热带地区使用,/images/products/books_&_stationery/moleskine_4.jpg,https://shopee.co.id/product/PROD48506856,True,2025-11-28,2026-01-19
38,SH_TH_97319,6,2,10,9,Decathlon Sports & Outdoors Basic Edition,Decathlon Sports & Outdoors Basic Edition (传统销售),Decathlon,在Thailand备受好评的Decathlon产品，质量保证,/images/products/sports_&_outdoors/decathlon_5.jpg,https://shopee.co.th/product/PROD85276190,True,2025-12-10,2026-01-22
39,PLAT12_50077,12,2,97,3,OPPO Mobile Phones Standard Edition,OPPO Mobile Phones Standard Edition (泰国销售),OPPO,限时优惠的OPPO产品，本地化适配,/images/products/mobile_phones/oppo_3.jpg,https://example.com/product/PROD62813411,False,2025-01-21,2025-03-21
40,SHOPEE_58888,1,7,28,15,Pedigree Pet Supplies Premium Edition,Pedigree Pet Supplies Premium Edition (柬埔寨销售),Pedigree,在Cambodia备受好评的Pedigree产品，质量保证,/images/products/pet_supplies/pedigree_9.jpg,https://shopee.co.id/product/PROD46413159,True,2025-02-05,2025-03-25
41,SHOPEE_20612,1,7,14,13,Guardian Health & Wellness Deluxe Edition,Guardian Health & Wellness Deluxe Edition (柬埔寨销售),Guardian,Guardian品牌经典产品，适合本地使用,/images/products/health_&_wellness/guardian_12.jpg,https://shopee.co.id/product/PROD24703715,False,2025-12-21,2025-12-31
42,PLAT30_61495,30,4,70,2,Prada Sport Shoes,Prada Sport Shoes (马来西亚销售),Prada,Prada品牌经典产品，适合本地使用,/images/products/fashion/prada_18.jpg,https://example.com/product/PROD47244565,True,2025-06-09,2025-08-01
43,PLAT14_90923,14,6,29,10,Batik Parang Modern Dress,菲式传统服饰 - Batik Parang Modern Dress,Batik Parang,在Philippines销量领先的Batik Parang产品，官方授权,/images/products/traditional_clothing/batik_parang_20.jpg,https://example.com/product/PROD96690341,True,2025-12-27,2026-01-09
44,SH_SG_85805,15,5,61,9,Adidas Sports & Outdoors Standard Edition,Adidas Sports & Outdoors Standard Edition (狮城销售),Adidas,在Singapore备受好评的Adidas产品，正品保障,/images/products/sports_&_outdoors/adidas_7.jpg,https://shopee.sg/product/PROD23680551,False,2025-09-12,2025-10-18
45,SHOPEE_34782,1,7,100,3,Samsung Mobile Phones Deluxe Edition,Samsung Mobile Phones Deluxe Edition (传统销售),Samsung,Samsung品牌经典产品，符合当地标准,/images/products/mobile_phones/samsung_11.jpg,https://shopee.co.id/product/PROD40021920,False,2025-01-03,2025-02-16
46,Q10_65560,17,5,49,11,Faber-Castell Books & Stationery Deluxe Edition,Faber-Castell Books & Stationery Deluxe Edition (优质销售),Faber-Castell,在Singapore广受欢迎的Faber-Castell产品，官方授权,/images/products/books_&_stationery/faber-castell_11.jpg,https://qoo10.sg/product/PROD69631827,True,2025-09-02,2025-10-08
47,LZD_39765,2,9,74,9,Under Armour Sports & Outdoors Basic Edition,Under Armour Sports & Outdoors Basic Edition (传统销售),Under Armour,在Myanmar备受好评的Under Armour产品，正品保障,/images/products/sports_&_outdoors/under_armour_6.jpg,https://lazada.co.id/product/PROD42954513,False,2025-06-09,2025-06-21
48,SHOPEE_42958,1,7,85,4,Sulwhasoo Serum Waterproof,Sulwhasoo Serum Waterproof 传统版,Sulwhasoo,Sulwhasoo品牌畅销产品，东南亚市场专供,/images/products/beauty_&_cosmetics/sulwhasoo_7.jpg,https://shopee.co.id/product/PROD74476512,False,2025-08-23,2025-09-27
49,PLAT18_62820,18,4,94,13,Centrum Health & Wellness Standard Edition,Centrum Health & Wellness Standard Edition (传统销售),Centrum,Centrum品牌经典产品，符合当地标准,/images/products/health_&_wellness/centrum_6.jpg,https://example.com/product/PROD68886816,False,2025-08-22,2025-09-02
50,PLAT24_36857,24,4,32,13,Blackmores Health & Wellness Standard Edition,Blackmores Health & Wellness Standard Edition (大马销售),Blackmores,Blackmores品牌优质产品，东南亚市场专供,/images/products/health_&_wellness/blackmores_19.jpg,https://example.com/product/PROD52948437,True,2025-02-05,2025-02-20
51,LZD_60641,2,10,56,4,Loreal Sunscreen Matte Finish,Loreal Sunscreen Matte Finish 文莱版,Loreal,在Brunei备受好评的Loreal产品，质量保证,/images/products/beauty_&_cosmetics/loreal_6.jpg,https://lazada.co.id/product/PROD74251571,False,2025-02-08,2025-03-09
52,PLAT14_11507,14,6,74,3,OPPO Mobile Phones Standard Edition,OPPO Mobile Phones Standard Edition (传统销售),OPPO,限时优惠的OPPO产品，专为东南亚气候设计,/images/products/mobile_phones/oppo_12.jpg,https://example.com/product/PROD96863355,True,2025-02-07,2025-03-06
53,LZD_93165,2,10,20,1,LG Model 21 6GB RAM 512GB,LG Model 21 6GB RAM 512GB (文莱销售),LG,在Brunei广受欢迎的LG产品，质量保证,/images/products/electronics/lg_15.jpg,https://lazada.co.id/product/PROD96059401,True,2025-10-17,2025-11-17
54,TT_TH_24987,27,2,95,12,Mattel Toys & Games Standard Edition,Mattel Toys & Games Standard Edition (泰国销售),Mattel,Mattel品牌经典产品，适合本地使用,/images/products/toys_&_games/mattel_13.jpg,https://tiktok.com/th/product/PROD28629894,False,2025-08-19,2025-09-02
55,TT_ID_30820,26,1,14,7,Fenty Beauty Makeup Deluxe Edition,Fenty Beauty Makeup Deluxe Edition 传统版,Fenty Beauty,节日特供的Fenty Beauty产品，本地化适配,/images/products/makeup/fenty_beauty_13.jpg,https://tiktok.com/id/product/PROD71387733,True,2025-03-25,2025-04-27
56,TIKI_22176,4,3,100,5,Tupperware Home & Living Premium Edition,Tupperware Home & Living Premium Edition (本地销售),Tupperware,在Vietnam备受好评的Tupperware产品，正品保障,/images/products/home_&_living/tupperware_1.jpg,https://tiki.vn/product/PROD95817713,True,2025-07-02,2025-08-29
57,LZD_25873,2,8,15,14,Shell Automotive Standard Edition,Shell Automotive Standard Edition (寮国销售),Shell,在Laos销量领先的Shell产品，官方授权,/images/products/automotive/shell_19.jpg,https://lazada.co.id/product/PROD97271657,True,2025-08-05,2025-08-20
58,BUKA_95378,8,1,68,2,Denim T-Shirt by Nike,Denim T-Shirt by Nike (本土销售),Nike,在Indonesia广受欢迎的Nike产品，官方授权,/images/products/fashion/nike_16.jpg,https://bukalapak.com/product/PROD46603503,False,2025-08-24,2025-10-18
59,SHOPEE_86312,1,10,30,6,Neutrogena Sunscreen & Skincare Premium Edition,Neutrogena Sunscreen & Skincare Premium Edition 文莱版,Neutrogena,在Brunei备受好评的Neutrogena产品，正品保障,/images/products/sunscreen_&_skincare/neutrogena_7.jpg,https://shopee.co.id/product/PROD82331305,False,2025-06-27,2025-07-19
60,SHOPEE_52500,1,8,31,1,Toshiba Model 89 4GB RAM 128GB,Toshiba Model 89 4GB RAM 128GB (寮国销售),Toshiba,全新上市的Toshiba产品，本地化适配,/images/products/electronics/toshiba_3.jpg,https://shopee.co.id/product/PROD74491586,True,2025-03-23,2025-05-13
61,LZD_86156,2,10,41,8,Lays Food & Beverages Premium Edition,文莱Lays Food & Beverages Premium Edition,Lays,全新上市的Lays产品，适合热带地区使用,/images/products/food_&_beverages/lays_16.jpg,https://lazada.co.id/product/PROD69927535,True,2025-06-15,2025-07-14
62,PLAT10_96006,10,3,100,3,Vivo Mobile Phones Standard Edition,Vivo Mobile Phones Standard Edition (越南销售),Vivo,节日特供的Vivo产品，适合热带地区使用,/images/products/mobile_phones/vivo_1.jpg,https://example.com/product/PROD30262418,True,2025-10-21,2025-11-25
63,SHOPEE_89019,1,9,11,15,Pedigree Pet Supplies Deluxe Edition,Pedigree Pet Supplies Deluxe Edition (传统销售),Pedigree,限时优惠的Pedigree产品，适合热带地区使用,/images/products/pet_supplies/pedigree_16.jpg,https://shopee.co.id/product/PROD77583542,True,2025-02-27,2025-03-02
64,PLAT18_48936,18,4,62,11,Oxford Books & Stationery Premium Edition,Oxford Books & Stationery Premium Edition (大马销售),Oxford,在Malaysia销量领先的Oxford产品，正品保障,/images/products/books_&_stationery/oxford_17.jpg,https://example.com/product/PROD29898694,False,2025-09-27,2025-11-07
65,LZD_98245,2,10,97,7,Fenty Beauty Makeup Standard Edition,Fenty Beauty Makeup Standard Edition 传统版,Fenty Beauty,全新上市的Fenty Beauty产品，本地化适配,/images/products/makeup/fenty_beauty_15.jpg,https://lazada.co.id/product/PROD95480903,True,2025-08-15,2025-09-08
66,LZD_73059,2,10,54,9,Adidas Sports & Outdoors Premium Edition,Adidas Sports & Outdoors Premium Edition (文莱销售),Adidas,节日特供的Adidas产品，专为东南亚气候设计,/images/products/sports_&_outdoors/adidas_19.jpg,https://lazada.co.id/product/PROD74880164,True,2025-01-27,2025-02-16
67,PLAT21_52003,21,2,64,6,Biore Sunscreen & Skincare Premium Edition,Biore Sunscreen & Skincare Premium Edition 泰式版,Biore,节日特供的Biore产品，适合热带地区使用,/images/products/sunscreen_&_skincare/biore_2.jpg,https://example.com/product/PROD45150970,False,2025-03-16,2025-04-15
68,LZD_21676,2,8,79,10,Denim Pants by Batik Semar,老挝传统服饰 - Denim Pants by Batik Semar,Batik Semar,Batik Semar品牌畅销产品，符合当地标准,/images/products/traditional_clothing/batik_semar_12.jpg,https://lazada.co.id/product/PROD23494317,False,2025-09-24,2025-10-08
69,SH_PH_65544,13,6,44,8,Pocky Food & Beverages Basic Edition,菲律宾Pocky Food & Beverages Basic Edition,Pocky,节日特供的Pocky产品，专为东南亚气候设计,/images/products/food_&_beverages/pocky_1.jpg,https://shopee.ph/product/PROD50180567,False,2025-06-15,2025-08-04
70,PLAT23_42344,23,4,60,2,Denim Jacket by Adidas,Denim Jacket by Adidas (传统销售),Adidas,限时优惠的Adidas产品，专为东南亚气候设计,/images/products/fashion/adidas_18.jpg,https://example.com/product/PROD73140615,True,2025-02-26,2025-03-25
71,PLAT25_18830,25,3,10,2,Nike Classic Jacket,Nike Classic Jacket (越南销售),Nike,Nike品牌经典产品，东南亚市场专供,/images/products/fashion/nike_19.jpg,https://example.com/product/PROD37004383,False,2025-03-04,2025-03-28
72,BLI_41639,7,1,90,15,Trixie Pet Supplies Premium Edition,Trixie Pet Supplies Premium Edition (本土销售),Trixie,Trixie品牌经典产品，适合本地使用,/images/products/pet_supplies/trixie_10.jpg,https://blibli.com/product/PROD66400410,False,2025-12-09,2026-01-10
73,TPD_40750,3,1,92,6,Wardah Sunscreen & Skincare Deluxe Edition,Wardah Sunscreen & Skincare Deluxe Edition 印尼版,Wardah,在Indonesia广受欢迎的Wardah产品，正品保障,/images/products/sunscreen_&_skincare/wardah_19.jpg,https://tokopedia.com/product/PROD95227975,False,2025-05-05,2025-05-14
74,TT_TH_51740,27,2,94,15,Pedigree Pet Supplies Standard Edition,Pedigree Pet Supplies Standard Edition (传统销售),Pedigree,在Thailand备受好评的Pedigree产品，质量保证,/images/products/pet_supplies/pedigree_1.jpg,https://tiktok.com/th/product/PROD58644837,False,2025-05-30,2025-06-05
75,Q10_93426,17,5,71,5,IKEA Home & Living Premium Edition,IKEA Home & Living Premium Edition (新加坡销售),IKEA,在Singapore备受好评的IKEA产品，正品保障,/images/products/home_&_living/ikea_12.jpg,https://qoo10.sg/product/PROD18472831,True,2025-11-29,2025-12-13
76,PLAT14_71406,14,6,43,3,Huawei Mobile Phones Deluxe Edition,Huawei Mobile Phones Deluxe Edition (菲式销售),Huawei,全新上市的Huawei产品，专为东南亚气候设计,/images/products/mobile_phones/huawei_7.jpg,https://example.com/product/PROD34945603,True,2025-05-19,2025-06-01
77,LZD_12600,2,8,55,7,MAC Makeup Basic Edition,MAC Makeup Basic Edition 寮国版,MAC,限时优惠的MAC产品，适合热带地区使用,/images/products/makeup/mac_4.jpg,https://lazada.co.id/product/PROD59643587,False,2025-09-26,2025-11-19
78,PLAT23_32828,23,4,55,7,NYX Makeup Premium Edition,NYX Makeup Premium Edition 传统版,NYX,在Malaysia销量领先的NYX产品，官方授权,/images/products/makeup/nyx_15.jpg,https://example.com/product/PROD63207646,False,2025-09-26,2025-10-28
79,BLI_17428,7,1,41,12,PlayStation Toys & Games Standard Edition,PlayStation Toys & Games Standard Edition (印尼销售),PlayStation,全新上市的PlayStation产品，本地化适配,/images/products/toys_&_games/playstation_17.jpg,https://blibli.com/product/PROD32841688,True,2025-03-11,2025-03-27
80,LZD_70141,2,8,95,7,Fenty Beauty Makeup Standard Edition,Fenty Beauty Makeup Standard Edition 寮国版,Fenty Beauty,全新上市的Fenty Beauty产品，专为东南亚气候设计,/images/products/makeup/fenty_beauty_6.jpg,https://lazada.co.id/product/PROD55250880,True,2025-09-14,2025-09-28
81,TT_VN_84596,28,3,89,4,Maybelline Lipstick Long Lasting,Maybelline Lipstick Long Lasting 越南版,Maybelline,在Vietnam广受欢迎的Maybelline产品，质量保证,/images/products/beauty_&_cosmetics/maybelline_14.jpg,https://tiktok.com/vn/product/PROD87562225,True,2025-12-20,2026-02-10
82,SHOPEE_18636,1,9,74,7,NYX Makeup Deluxe Edition,NYX Makeup Deluxe Edition 缅甸版,NYX,在Myanmar备受好评的NYX产品，质量保证,/images/products/makeup/nyx_8.jpg,https://shopee.co.id/product/PROD38792607,True,2025-07-16,2025-07-26
83,SHOPEE_35073,1,7,46,3,Xiaomi Mobile Phones Standard Edition,Xiaomi Mobile Phones Standard Edition (柬埔寨销售),Xiaomi,全新上市的Xiaomi产品，本地化适配,/images/products/mobile_phones/xiaomi_7.jpg,https://shopee.co.id/product/PROD95539555,False,2025-04-30,2025-05-25
84,PLAT14_96893,14,6,14,15,Trixie Pet Supplies Standard Edition,Trixie Pet Supplies Standard Edition (菲式销售),Trixie,在Philippines销量领先的Trixie产品，正品保障,/images/products/pet_supplies/trixie_2.jpg,https://example.com/product/PROD53743875,False,2025-08-10,2025-08-11
85,PLAT21_16965,21,2,65,12,PlayStation Toys & Games Basic Edition,PlayStation Toys & Games Basic Edition (泰国销售),PlayStation,限时优惠的PlayStation产品，适合热带地区使用,/images/products/toys_&_games/playstation_4.jpg,https://example.com/product/PROD36740378,False,2025-08-16,2025-09-04
86,SH_MY_18678,11,4,47,6,Wardah Sunscreen & Skincare Deluxe Edition,Wardah Sunscreen & Skincare Deluxe Edition 传统版,Wardah,Wardah品牌热门产品，东南亚市场专供,/images/products/sunscreen_&_skincare/wardah_12.jpg,https://shopee.com.my/product/PROD86410253,False,2025-09-02,2025-09-04
87,SHOPEE_82713,1,7,58,8,Coca-Cola Food & Beverages Standard Edition,传统Coca-Cola Food & Beverages Standard Edition,Coca-Cola,在Cambodia销量领先的Coca-Cola产品，官方授权,/images/products/food_&_beverages/coca-cola_14.jpg,https://shopee.co.id/product/PROD54385149,False,2025-03-30,2025-04-21
88,JD_71003,19,2,16,11,Penguin Books & Stationery Premium Edition,Penguin Books & Stationery Premium Edition (泰国销售),Penguin,Penguin品牌经典产品，适合本地使用,/images/products/books_&_stationery/penguin_17.jpg,https://example.com/product/PROD59292840,True,2025-03-15,2025-05-11
89,PLAT29_40731,29,5,86,2,Uniqlo Summer Collection Shoes,Uniqlo Summer Collection Shoes (新加坡销售),Uniqlo,Uniqlo品牌畅销产品，适合本地使用,/images/products/fashion/uniqlo_3.jpg,https://example.com/product/PROD55044641,False,2025-12-21,2026-01-03
90,LZD_12980,2,8,18,7,Fenty Beauty Makeup Premium Edition,Fenty Beauty Makeup Premium Edition 传统版,Fenty Beauty,在Laos销量领先的Fenty Beauty产品，官方授权,/images/products/makeup/fenty_beauty_14.jpg,https://lazada.co.id/product/PROD81609810,True,2025-05-04,2025-06-25
91,SH_SG_52880,15,5,36,12,Mattel Toys & Games Basic Edition,Mattel Toys & Games Basic Edition (优质销售),Mattel,全新上市的Mattel产品，适合热带地区使用,/images/products/toys_&_games/mattel_20.jpg,https://shopee.sg/product/PROD36326122,True,2025-12-15,2026-01-09
92,LZD_79309,2,7,28,10,Batik Semar Modern Shoes,传统传统服饰 - Batik Semar Modern Shoes,Batik Semar,Batik Semar品牌优质产品，适合本地使用,/images/products/traditional_clothing/batik_semar_17.jpg,https://lazada.co.id/product/PROD14992370,True,2025-11-23,2025-12-19
93,PLAT14_46824,14,6,74,3,Realme Mobile Phones Standard Edition,Realme Mobile Phones Standard Edition (菲律宾销售),Realme,Realme品牌畅销产品，适合本地使用,/images/products/mobile_phones/realme_10.jpg,https://example.com/product/PROD62755610,True,2025-10-28,2025-11-28
94,SH_MY_26533,11,4,52,10,Batik Keris Winter Collection Shoes,大马传统服饰 - Batik Keris Winter Collection Shoes,Batik Keris,节日特供的Batik Keris产品，本地化适配,/images/products/traditional_clothing/batik_keris_3.jpg,https://shopee.com.my/product/PROD47170495,False,2025-10-22,2025-11-15
95,TT_ID_54501,26,1,25,7,Fenty Beauty Makeup Premium Edition,Fenty Beauty Makeup Premium Edition 传统版,Fenty Beauty,全新上市的Fenty Beauty产品，专为东南亚气候设计,/images/products/makeup/fenty_beauty_18.jpg,https://tiktok.com/id/product/PROD70288882,False,2025-07-05,2025-07-19
96,LZD_30655,2,9,93,1,Philips Model 78 4GB RAM 128GB,Philips Model 78 4GB RAM 128GB (缅甸销售),Philips,节日特供的Philips产品，本地化适配,/images/products/electronics/philips_9.jpg,https://lazada.co.id/product/PROD80545403,True,2025-05-14,2025-07-03
